Grant,"Organization Name","Focus Area",Amount,Date
"National Animal Disease Center — Universal Influenza Antiviral Testing","National Animal Disease Center","Science Supporting Biosecurity and Pandemic Preparedness","$181,749","May 2022"
"University of Notre Dame — Biofilm-Resistant Catheters","University of Notre Dame","Human Health and Wellbeing","$895,000","December 2022"
"Tom Adamczewski — Randomized Control Trial Tool",,"Global Health & Wellbeing","$22,800","February 2022"
"Translational Health Science and Technology Institute — Henipavirus Antivirals","Translational Health Science and Technology Institute","Human Health and Wellbeing","$1,020,475","August 2022"
"Animal Rights Center Japan — Corporate Campaigns (2022)","Animal Rights Center Japan","Broiler Chicken Welfare","$300,000","January 2022"
"fair-fish international association — General Support (2022)","fair-fish international association","Farm Animal Welfare","$690,000","May 2022"
"University of Bern — Cage-free Layer Hen Genetics","University of Bern","Farm Animal Welfare","$2,700,000","May 2022"
"Michael Specter — Existential Risk Courses at MIT",,"Global Catastrophic Risks Capacity Building","$110,000","September 2022"
"Jérémy Scheurer — Independent AI Alignment Research",,"Potential Risks from Advanced AI","$110,000","December 2022"
"Animal & Vegan Advocacy Summit — Travel Scholarships (2023 Summit)","Animal &amp; Vegan Advocacy Summit","Farm Animal Welfare","$150,000","December 2022"
"Pru Elliott — Corporate Campaign Coaching",,"Farm Animal Welfare","$32,610","December 2022"
"Cecil Abungu — Effective Altruism Fellowship in Africa",,"Global Catastrophic Risks Capacity Building","$294,000","April 2022"
"Egor Krasheninnikov — Research Collaboration with David Krueger",,"Potential Risks from Advanced AI","$6,526","March 2022"
"Cate Hall — Self-Study for Career Transition",,"Biosecurity & Pandemic Preparedness","$25,000","December 2021"
"Farmed Animal Funders — Regranting for Farm Animal Welfare in Europe","Farmed Animal Funders","Farm Animal Welfare","$750,000","September 2021"
"Longview Philanthropy — Film Project Scoping Work","Longview Philanthropy","Global Catastrophic Risks Capacity Building","$57,500","January 2023"
"Scarlet Spark — Animal Welfare Management Coaching","Scarlet Spark","Farm Animal Welfare","$150,000","December 2022"
"The Pollination Project — Movement Building (2022)","The Pollination Project","Farm Animal Welfare","$370,000","December 2022"
"Rethink Priorities — Global Health and Wellbeing Research (2022)","Rethink Priorities","Global Health & Wellbeing","$690,000","December 2022"
"Effective Ventures Foundation USA — Asterisk Magazine","Effective Ventures Foundation USA","Global Catastrophic Risks Capacity Building","$730,000","January 2022"
"Humánny pokrok — Farm Animal Welfare in Slovakia","Humánny pokrok","Farm Animal Welfare","$357,628","December 2022"
"Yale University — Migration Research in Nepal","Yale University","Global Health & Wellbeing","$276,981","January 2022"
"European Summer Program on Rationality — General Support (2022)","European Summer Program on Rationality","Global Catastrophic Risks Capacity Building","$4,715,000","May 2022"
"Longview Philanthropy — Far-UVC Event","Longview Philanthropy","Biosecurity & Pandemic Preparedness","$60,000","November 2022"
"Andrew Szanton — Operation Warp Speed Memoir",,"Biosecurity & Pandemic Preparedness","$75,000","December 2022"
"Animal Friends Jogja — Farm Animal Welfare in Indonesia (2022)","Animal Friends Jogja","Farm Animal Welfare","$139,000","January 2023"
"World Resources Institute — City Government Support for Air Quality","World Resources Institute","South Asian Air Quality","$1,200,000","January 2023"
"University of California, Berkeley — Aging Research (Irina Conboy) (2023)","University of California, Berkeley","Transformative Basic Science","$3,042,600","January 2023"
"Effective Ventures Foundation — General Support","Effective Ventures Foundation","Global Catastrophic Risks Capacity Building","$11,425,000","December 2022"
"Yale University — Regulatory Affairs Fellowship","Yale University","Global Health & Wellbeing","$166,667","August 2022"
"Lead Exposure Elimination Project — General Support","Lead Exposure Elimination Project","Global Public Health Policy","$150,000","December 2022"
"Alianima — Corporate Pledge Implementation in Brazil",Alianima,"Cage-Free Reforms","$481,000","January 2022"
"Center for a New American Security — Risks from Militarized AI","Center for a New American Security","Potential Risks from Advanced AI","$101,187","September 2021"
"Prometheus Science Bowl — EA-Themed Science Bowl","Prometheus Science Bowl","Global Catastrophic Risks Capacity Building","$97,500","February 2022"
"Carnegie Mellon University — Research on Adversarial Examples","Carnegie Mellon University","Potential Risks from Advanced AI","$343,235","July 2022"
"Icahn School of Medicine at Mount Sinai — Bat Cell Line Research","Icahn School of Medicine at Mount Sinai","Science Supporting Biosecurity and Pandemic Preparedness","$100,000","December 2021"
"GiveWell — General Support (2022)",GiveWell,"Global Health & Development","$4,233,048","December 2022"
"Jacob Steinhardt — AI Alignment Research",,"Potential Risks from Advanced AI","$100,000","November 2022"
"Essere Animali — Farm Animal Welfare in Italy (2022)","Essere Animali","Farm Animal Welfare","$554,000","April 2022"
"University of Pennsylvania — Adrenal Cell Research","University of Pennsylvania","Human Health and Wellbeing","$1,320,000","December 2022"
"Harvard University — Antiviral Research (2022)","Harvard University","Science Supporting Biosecurity and Pandemic Preparedness","$2,500,000","January 2022"
"Stanford University — AI Alignment Research (2021)","Stanford University","Potential Risks from Advanced AI","$1,500,000","November 2021"
"IRD Global — Mobile Conditional Cash Transfers for Immunizations","IRD Global","GiveWell-Recommended Charities","$25,000,000","October 2021"
"Abundant Housing LA — Lawmaker Engagement","Abundant Housing LA","Land Use Reform","$80,000","January 2022"
"Council on Strategic Risks — Biosecurity Fellowships and Policy Work","Council on Strategic Risks","Biosecurity & Pandemic Preparedness","$2,898,350","September 2022"
"Nonlinear Fund — Personal Assistant Hiring Agency","Nonlinear Fund","Global Catastrophic Risks Capacity Building","$15,000","January 2022"
"National Academies of Sciences, Engineering, and Medicine — Safety-Critical Machine Learning","National Academies of Sciences, Engineering, and Medicine","Potential Risks from Advanced AI","$309,441","February 2022"
"Effective Ventures Foundation — Event Venue","Effective Ventures Foundation","Global Catastrophic Risks Capacity Building","$23,179,563","December 2021"
"Berkeley Existential Risk Initiative — SERI MATS Program","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$195,000","November 2021"
"Harvard University — CRISPR-Based Diagnostics for Febrile Diseases","Harvard University","Human Health and Wellbeing","$600,213","December 2021"
"London School of Hygiene and Tropical Medicine — Research on Chronic Viral Infections ","London School of Hygiene and Tropical Medicine","Human Health and Wellbeing","$2,670,441","November 2021"
"University of Chicago — Chicago School of Existential Risk","University of Chicago","Global Catastrophic Risks","$207,000","June 2022"
"Stanford University — Pandemic Preparedness Center","Stanford University","Science Supporting Biosecurity and Pandemic Preparedness","$200,000","September 2021"
"Wilson Center — AI Policy Training Program (2022)","The Wilson Center","Potential Risks from Advanced AI","$2,023,322","January 2022"
"Catherine Brewer — OxAI Safety Hub","OxAI Safety Hub","Potential Risks from Advanced AI","$11,622","October 2022"
"GDi Partners — Air Quality Governance in India","GDi Partners","South Asian Air Quality","$2,592,110","October 2022"
"Advocates for Animals — Farm Animal Welfare Legal Work","Advocates for Animals","Farm Animal Welfare","$376,235","October 2022"
"Stanford University — Immunization Research","Stanford University","Human Health and Wellbeing","$350,000","December 2021"
"Council on Energy, Environment, and Water — Crop Residue Burning Research","Council on Energy, Environment, and Water","South Asian Air Quality","$216,250","September 2022"
"Rethink Priorities — Farm Animal Welfare Research (2021)","Rethink Priorities","Farm Animal Welfare","$2,000,000","September 2021"
"Nuclear Threat Initiative — Global Catastrophic Biological Risk Reduction (2021)","Nuclear Threat Initiative","Biosecurity & Pandemic Preparedness","$1,250,000","December 2021"
"Michael Ward — Effective Altruism Book Purchases",,"Global Catastrophic Risks Capacity Building","$2,400","November 2022"
"Solar Cooling Engineering — Solar Refrigerator Testing","Solar Cooling Engineering","Human Health and Wellbeing","$100,000","October 2021"
"Animal Law Foundation — Farm Animal Welfare Legal Work","Animal Law Foundation","Farm Animal Welfare","$140,796","October 2022"
"Boston University — Human Lung Model Systems","Boston University","Scientific Research","$414,000","August 2021"
"George Mason University — Michael Clemens Migration Research","George Mason University","Immigration Policy","$450,000","November 2022"
"Nathan Maya — Effective Altruism Student Retreat",,"Global Catastrophic Risks Capacity Building","$11,850","November 2022"
"Aquatic Life Institute — Aquatic Animal Welfare","Aquatic Life Institute","Farm Animal Welfare","$150,000","November 2022"
"Northeastern University — Large Language Model Interpretability Research","Northeastern University","Potential Risks from Advanced AI","$562,128","November 2022"
"Chelsea Liang — Biosecurity Policy in Australia",,"Biosecurity & Pandemic Preparedness","$31,099","December 2022"
"Atlas Fellowship — General Support","Atlas Fellowship","Global Catastrophic Risks Capacity Building","$1,800,000","December 2022"
"Helena — Health Security Policy",Helena,"Biosecurity & Pandemic Preparedness","$500,000","November 2022"
"Equalia — Corporate Campaigns (2022)",Equalia,"Farm Animal Welfare","$2,409,106","November 2022"
"Mordechai Rorvig — Independent AI Journalism",,"Potential Risks from Advanced AI","$110,000","November 2022"
"Thomas Liao — Foundation Model Tracker","Foundation Model Tracker","Potential Risks from Advanced AI","$15,000","October 2022"
"University of Helsinki — Travel Funding for Air Pollution Research","University of Helsinki","South Asian Air Quality","$87,743","November 2022"
"Nutrition International — Vitamin A Supplementation","Nutrition International","GiveWell-Recommended Charities","$8,951,600","February 2022"
"Project Peanut Butter — Ready-to-Use Therapeutic Food Standards","Project Peanut Butter","Human Health and Wellbeing","$190,900","February 2022"
"University of Chicago — Research on Mobile Conditional Cash Transfers","University of Chicago","GiveWell-Recommended Charities","$1,602,868","January 2022"
"Unlimit Health — Deworming and Worm Burden Mapping (2022)","Unlimit Health","GiveWell-Recommended Charities","$20,151,540","January 2022"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (2022)","Malaria Consortium","GiveWell-Recommended Charities","$32,096,856","March 2022"
"Malaria Consortium — Seasonal Malaria Chemoprevention in Mozambique (2022)","Malaria Consortium","GiveWell-Recommended Charities","$15,918,958","February 2022"
"Travel Grants for the Biological Weapons Convention Review Conference (2022)",,"Biosecurity & Pandemic Preparedness","$48,032","October 2022"
"Indian Institute of Technology Bombay — PAVITRA Pollution Modeling Tool","Indian Institute of Technology Bombay","South Asian Air Quality","$647,618","November 2022"
"University of Washington — PAVITRA Pollution Modeling Tool","University of Washington","South Asian Air Quality","$442,862","September 2022"
"University of California, Berkeley — PAVITRA Pollution Modeling Tool","University of California, Berkeley","South Asian Air Quality","$1,308,342","September 2022"
"International Refugee Assistance Project — Exit Grant","International Refugee Assistance Project","Immigration Policy","$1,000,000","July 2022"
"Johns Hopkins Center for Health Security — Educational Degree Program","Johns Hopkins Center for Health Security","Biosecurity & Pandemic Preparedness","$3,908,161","September 2022"
"American University — Solar Geoengineering Initiative","American University","Global Catastrophic Risks","$100,000","September 2022"
"Produtor do Bem Certificação — Farm Animal Welfare Certification in Brazil","Produtor do Bem","Farm Animal Welfare","$228,068","October 2022"
"Center for Study of Science, Technology and Policy — PAVITRA Pollution Modeling Tool",CSTEP,"South Asian Air Quality","$564,701","September 2022"
"Lightcone Infrastructure – General Support","Lightcone Infrastructure","Global Catastrophic Risks Capacity Building","$4,500,000","September 2022"
"Abdul Latif Jameel Poverty Action Lab — Innovation and Science Research","Abdul Latif Jameel Poverty Action Lab","Innovation Policy","$649,176","August 2022"
"University of Pennsylvania — Forecasting Tournament Planning","University of Pennsylvania",Forecasting,"$275,000","October 2021"
"Stanford University — AI Index","Stanford University","Potential Risks from Advanced AI","$78,000","September 2021"
"Agricultural Research Service — Malaria Control Research (2021)","Agricultural Research Service","Human Health and Wellbeing","$321,219","August 2021"
"Korean Animal Welfare Association — Cage-Free Campaigns (2022)","Korean Animal Welfare Association","Cage-Free Reforms","$160,000","November 2022"
"Citizen Action of New York — Criminal Justice Reform (2021)","Citizen Action of New York","Criminal Justice Reform","$250,000","October 2021"
"Shrimp Welfare Project — General Support","Shrimp Welfare Project","Farm Animal Welfare","$300,000","September 2022"
"Seton Hall University — Longtermism Course Development","Seton Hall University","Global Catastrophic Risks Capacity Building","$39,780","November 2022"
"London Effective Altruism Hub — EA Organizing in London","Arcadia Impact","Global Catastrophic Risks Capacity Building","$445,000","November 2022"
"Malaria No More UK — Fundraising and Advocacy","Malaria No More UK","Global Aid Policy","$2,926,561","September 2022"
"Hamish Huggard — EA Content Creation",,"Global Catastrophic Risks Capacity Building","$83,000","November 2022"
"Effective Altruism Funds — Infrastructure Fund Regranting","Effective Altruism Funds","Global Catastrophic Risks Capacity Building","$4,929,000","September 2022"
"University of Georgia — Malaria Vaccine Research","University of Georgia","Human Health and Wellbeing","$1,205,820","September 2022"
"New York University — Ethiopia Urban Expansion Initiative Follow-Up","New York University","Global Health & Wellbeing","$450,000","November 2022"
"Asar Social Impact Advisors — Clean Air Hubs","Asar Social Impact Advisors","South Asian Air Quality","$673,485","November 2022"
"Evidence Action — In-Line Chlorination in Malawi","Evidence Action","GiveWell-Recommended Charities","$4,449,309","July 2022"
"Trevor Woolley — Effective Altruism Economics Course ","University of California, Berkeley","Global Catastrophic Risks Capacity Building","$10,350","October 2022"
"Centre for the Governance of AI — Compute Strategy Workshop","Centre for the Governance of AI","Potential Risks from Advanced AI","$50,532","September 2022"
"Asociación para el Rescate y Bienestar de los Animales — Farm Animal Welfare in Peru ","Asociación para el Rescate y Bienestar de los Animales","Cage-Free Reforms","$156,400","October 2022"
"Berkeley Existential Risk Initiative — General Support (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$100,000","November 2022"
"Legal Impact for Chickens — Farm Animal Welfare Litigation","Legal Impact for Chickens","Farm Animal Welfare","$300,000","October 2022"
"Georgia Institute of Technology — Portable Spectrometers","Georgia Institute of Technology","Human Health and Wellbeing","$111,000","October 2022"
"Mercy Corps — Seasonal Migration RCT in Niger","Mercy Corps","Immigration Policy","$650,000","October 2022"
"Center for Global Development Europe — Education Research","Center for Global Development Europe","Global Health & Development","$1,150,000","October 2022"
"Princeton University — Existential Risk Course Development","Princeton University","Global Catastrophic Risks Capacity Building","$27,555","September 2022"
"Engineers Without Borders International — Strategic Planning","Engineers Without Borders International","Scientific Research","$50,000","October 2022"
"Funding for Effective Altruism-Related Translation Projects",,"Global Catastrophic Risks Capacity Building","$1,584,664","October 2022"
"Coalition for Global Hepatitis Elimination — Hepatitis B Treatment","Coalition for Global Hepatitis Elimination","Human Health and Wellbeing","$140,222","October 2022"
"BlueDot Impact — General Support","BlueDot Impact","Global Catastrophic Risks Capacity Building","$2,009,000","June 2022"
"Riley Harris — Global Priorities Research Blog",,"Global Catastrophic Risks Capacity Building","$65,000","September 2022"
"Center for Global Development — Staff for USAID Chief Economist","Center for Global Development","Global Aid Policy","$1,411,409","September 2022"
"Center for Applied Rationality — SPARC (2022)","Center for Applied Rationality","Global Catastrophic Risks Capacity Building","$700,000","August 2022"
"Centre for the Governance of AI — Research Assistant","Centre for the Governance of AI","Potential Risks from Advanced AI","$19,200","September 2022"
"Wilton Park — Biological Weapons Convention Retreat","Wilton Park","Biosecurity & Pandemic Preparedness","$47,722","September 2022"
"University of Utah — Henipavirus Antivirals","University of Utah","Science Supporting Biosecurity and Pandemic Preparedness","$385,000","October 2022"
"Catalyst — Farm Animal Welfare in Thailand (2022)",Catalyst,"Farm Animal Welfare","$699,986","November 2022"
"Center for Building in North America — Housing Code Reform","Center for Building in North America","Land Use Reform","$500,000","September 2022"
"New York University — Wild Animal Welfare Program","New York University","Farm Animal Welfare","$300,000","August 2022"
"Rethink Priorities — Animal Welfare Research","Rethink Priorities","Farm Animal Welfare","$468,004","September 2022"
"Non-Trivial Pursuits — General Support",Non-Trivial,"Global Catastrophic Risks Capacity Building","$1,005,000","July 2022"
"Columbia University — Far-UVC Sterilization Research","Columbia University","Biosecurity & Pandemic Preparedness","$3,200,000","June 2022"
"University of Maryland — Policy Fellowships","University of Maryland","Global Catastrophic Risks","$483,880","December 2021"
"UC Berkeley — Research on Labor Market Outcomes","University of California, Berkeley","Land Use Reform","$50,000","November 2021"
"UC Berkeley — In-Line Water Chlorination Devices (Amy Pickering) (2021)","University of California, Berkeley","Human Health and Wellbeing","$1,900,000","December 2021"
"Applied Research Laboratory for Intelligence and Security — Report on Security Clearances","Applied Research Laboratory for Intelligence and Security","Potential Risks from Advanced AI","$70,000","July 2021"
"IRD Global — Zero TB Program","IRD Global","GiveWell-Recommended Charities","$336,402","June 2021"
"The Political Report — Journalism on Criminal Justice Reform",,"Criminal Justice Reform","$150,000","September 2021"
"Funding for Projects to Estimate Biological Risk",,"Biosecurity & Pandemic Preparedness","$1,391,169","July 2022"
"California YIMBY — Ballot Initiative Scoping Grant","California YIMBY","Land Use Reform","$200,000","August 2022"
"Accountability Board — Advocacy Campaigns","The Accountability Board","Farm Animal Welfare","$10,324,603","August 2022"
"Yale University — Malaria Vaccine Research (2022)","Yale University","Human Health and Wellbeing","$257,193","September 2022"
"Juan Gil — Book Distribution","Juan Gil","Global Catastrophic Risks Capacity Building","$24,745","August 2022"
"Associated Students of Stanford University — Stanford Law School EA Group","Associated Students of Stanford University","Global Catastrophic Risks Capacity Building","$10,000","August 2022"
"AI Safety Hub — Startup Costs","AI Safety Hub","Potential Risks from Advanced AI","$203,959","September 2022"
"Purdue University — Imatinib Trial for Drug-Resistant Malaria","Purdue University","Human Health and Wellbeing","$600,000","September 2022"
"Dharma Voices for Animals — Sri Lanka Animal Welfare Legislation (2022)","Dharma Voices for Animals","Farm Animal Welfare","$101,000","August 2022"
"Alexandra Balwit — Publicity for The Long View",,"Global Catastrophic Risks Capacity Building","$45,000","August 2022"
"Funding for AI Alignment Projects Working With Deep Learning Systems",,"Potential Risks from Advanced AI","$15,700,072","April 2022"
"Effective Altruism Funds — Operating Expenses","Effective Altruism Funds","Global Catastrophic Risks Capacity Building","$573,000","August 2022"
"Centre for Effective Altruism — Harvard Square Coworking Space","Centre for Effective Altruism","Global Catastrophic Risks Capacity Building","$8,875,000","August 2022"
"We Animals Media — Content for Farm Animal Welfare Advocacy (2022)","We Animals Media","Farm Animal Welfare","$600,000","September 2022"
"University of Stirling — Fish Welfare Research","University of Stirling","Farm Animal Welfare","$904,610","September 2022"
"Daniel Bressler — Research Assistant for Climate Change Research",,"Global Health & Wellbeing","$32,000","August 2022"
"Commonwealth Veterinary Association — Animal Welfare Training (2022)","Commonwealth Veterinary Association","Farm Animal Welfare","$15,000","August 2022"
"Kuhan Jeyapragasan — University Group Organizing",,"Global Catastrophic Risks Capacity Building","$250,000","August 2022"
"Support for London Group Organizers",,"Global Catastrophic Risks Capacity Building","$125,000","August 2022"
"Ann Garth – Climate Change Research",,"Global Catastrophic Risks","$5,250","July 2022"
"Future Forum Foundation — Future Forum","Future Forum Foundation","Global Catastrophic Risks Capacity Building","$654,500","July 2022"
"Ajantha Nadesalingam — Effective Altruism Blog",,"Global Catastrophic Risks Capacity Building","$9,120","June 2022"
"Effektiv Spenden — German Translation of The Life You Can Save","Effektiv Spenden","Global Catastrophic Risks Capacity Building","$25,458","August 2022"
"Global Priorities Institute — General Support (2022)","Global Priorities Institute","Global Catastrophic Risks","$2,296,001","August 2022"
"Centre for Effective Altruism — Biosecurity Coworking Space","Centre for Effective Altruism","Biosecurity & Pandemic Preparedness","$5,318,000","August 2022"
"Swaniti Initiative — Indian Parliamentary Air Quality Staff","Swaniti Initiative","South Asian Air Quality","$533,444","August 2022"
"VenomAid — Rapid Diagnostics for Snakebites",VenomAid,"Human Health and Wellbeing","$990,208","June 2022"
"UC Berkeley — Follow-Up Research on Cash Transfers Study","University of California, Berkeley","GiveWell-Recommended Charities","$1,397,102","August 2022"
"Clinton Health Access Initiative – CHAI Incubator","Clinton Health Access Initiative","GiveWell-Recommended Charities","$10,443,685","September 2022"
"Berkeley Existential Risk Initiative — SERI MATS Program (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$1,008,127","April 2022"
"Food Frontier — Promoting Plant-Based Meat Alternatives in Asia","Food Frontier","Alternatives to Animal Products","$500,000","August 2022"
"Open New York — Housing Advocacy in New York (2022)","Open New York","Land Use Reform","$500,000","September 2022"
"Vital Strategies — RESET Alcohol Initiative","Vital Strategies","GiveWell-Recommended Charities","$15,000,000","January 2022"
"Observer Research Foundation America — Indian Air Pollution Models","Observer Research Foundation America","South Asian Air Quality","$80,000","August 2022"
"Centre for Effective Altruism — Harvard AI Safety Office","Centre for Effective Altruism","Potential Risks from Advanced AI","$250,000","August 2022"
"Fish Welfare Initiative — Fish Welfare in India","Fish Welfare Initiative","Farm Animal Welfare","$250,000","August 2022"
"Daniel Dewey — AI Alignment Projects (2022)",,"Potential Risks from Advanced AI","$175,000","August 2022"
"Animal Justice Canada — Animal Welfare Corporate Campaigns","Animal Justice Canada","Farm Animal Welfare","$469,916","August 2022"
"Certified Humane — PR for Certification System","Certified Humane","Farm Animal Welfare","$280,000","August 2022"
"Animal & Vegan Advocacy Summit — Conference Scholarships","Animal &amp; Vegan Advocacy Summit","Farm Animal Welfare","$100,000","August 2022"
"Faunalytics — KPI Dashboards for Farm Animal Welfare",Faunalytics,"Farm Animal Welfare","$44,200","August 2022"
"Bipartisan Commission on Biodefense — General Support (2022)","Bipartisan Commission on Biodefense","Biosecurity & Pandemic Preparedness","$5,200,000","July 2022"
"Century Fellowship — 2022 Cohort",,"Global Catastrophic Risks Capacity Building","$1,889,027","June 2022"
"Fund for Alignment Research — Language Model Misalignment (2022)","FAR AI","Potential Risks from Advanced AI","$463,693","August 2022"
"Redwood Research — General Support (2022)","Redwood Research","Potential Risks from Advanced AI","$10,700,000","August 2022"
"UC Berkeley — Tuberculosis Research","University of California, Berkeley","Human Health and Wellbeing","$84,760","August 2022"
"National Academy of Sciences — Gametogenesis Workshop","National Academy of Sciences","Transformative Basic Science","$225,000","July 2022"
"Stanford University — AI Alignment Research (Barrett and Viteri)","Stanford University","Potential Risks from Advanced AI","$153,820","July 2022"
"Berkeley Existential Risk Initiative — Language Model Alignment Research","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$40,000","June 2022"
"Evidence Action — Dispensers for Safe Water Program (February 2022)","Evidence Action","GiveWell-Recommended Charities","$48,823,039","February 2022"
"Yale University — Helminth Vaccine Research","Yale University","Human Health and Wellbeing","$316,000","August 2022"
"University of Maine — Biofilm-Resistant Catheters","University of Maine","Human Health and Wellbeing","$500,000","August 2022"
"Helen Keller International — Vitamin A Supplementation (April 2022)","Helen Keller International","GiveWell-Recommended Charities","$3,936,955","April 2022"
"Center for Long-Term Cybersecurity — AI Standards (2022)","University of California, Berkeley","Potential Risks from Advanced AI","$20,000","April 2022"
"Berkeley Existential Risk Initiative — AI Standards (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$210,000","April 2022"
"University Organizer Fellowship",,"Global Catastrophic Risks Capacity Building","$6,018,990","September 2022"
"Charity Entrepreneurship — Farm Animal Welfare Charity Incubator","Charity Entrepreneurship","Farm Animal Welfare","$788,000","August 2022"
"Mercy for Animals — Corporate Campaigns (2022)","Mercy For Animals","Broiler Chicken Welfare","$12,470,000","August 2022"
"Crate Free Illinois — Crate-Free Campaigns","Crate-Free Illinois","Cage-Free Reforms","$117,600","August 2022"
"Bipartisan Commission on Biodefense — General Support (2021)","Bipartisan Commission on Biodefense","Biosecurity & Pandemic Preparedness","$1,350,000","December 2021"
"Bridges to Prosperity — Trailbridge Building RCT in Rwanda","Bridges to Prosperity","GiveWell-Recommended Charities","$3,390,138","May 2022"
"Compassion in World Farming — Broiler Chicken Welfare and Efforts to End Cages and Crates","Compassion in World Farming","Broiler Chicken Welfare","$3,559,572","January 2022"
"Aquatic Life Institute — General Support","Aquatic Life Institute","Farm Animal Welfare","$100,000","June 2022"
"Constitutional Accountability Center — California Prop 12 Legal Defense","Constitutional Accountability Center","Cage-Free Reforms","$37,123","May 2022"
"Center for Global Development — General Support (2022)","Center for Global Development","Global Aid Policy","$1,000,000","April 2022"
"Biosecure — Biological Weapons Convention Verification Workshop","Biosecure Ltd","Biosecurity & Pandemic Preparedness","$155,714","July 2022"
"Oregon Health and Science University — Research on Oocyte Production","Oregon Health and Science University","Transformative Basic Science","$4,000,000","June 2022"
"Peter McIntyre — Effective Altruism Community Building Projects",,"Global Catastrophic Risks Capacity Building","$165,257","September 2021"
"Apollo Fellowship — Effective Altruism Debate Camp","Apollo Fellowship","Global Catastrophic Risks Capacity Building","$321,838","July 2022"
"People For Animals Uttarakhand — Farm Animal Welfare Fellowship (2022)","People for Animals Uttarakhand","Farm Animal Welfare","$100,000","June 2022"
"Rethink Priorities — Research Assistant and Expenses","Rethink Priorities","Global Health & Wellbeing","$120,000","July 2022"
"Center for a New American Security — Work on AI Governance","Center for a New American Security","Potential Risks from Advanced AI","$5,149,398","July 2022"
"Universidad de Sevilla — Course on Effective Altruism",,"Global Catastrophic Risks Capacity Building","$19,982","June 2022"
"Convergent Research — Sequencing Roadmap","Convergent Research","Biosecurity & Pandemic Preparedness","$250,000","June 2022"
"Animal Outlook — Animal Welfare Investigation","Animal Outlook","Farm Animal Welfare","$125,000","June 2022"
"University of Edinburgh — Effective Altruism Psychology Course","University of Edinburgh","Global Catastrophic Risks Capacity Building","$47,000","June 2022"
"Sinergia Animal — Farm Animal Welfare in Southeast Asia and Latin America","Sinergia Animal","Farm Animal Welfare","$2,482,743","June 2022"
"Epoch — General Support",Epoch,"Potential Risks from Advanced AI","$1,960,000","June 2022"
"Breakthrough Institute — Research on Plant-Based Meat Consumption","Breakthrough Institute","Alternatives to Animal Products","$50,000","June 2022"
"Rethink Priorities — Dimensions of Welfare Workshop","Rethink Priorities","Farm Animal Welfare","$40,000","June 2022"
"Berkeley Existential Risk Initiative — SERI Summer Fellowships (2022)","Berkeley Existential Risk Initiative","Global Catastrophic Risks","$400,000","June 2022"
"IDinsight — Moral Weights Survey Planning",IDinsight,"Global Health & Development","$11,760","May 2022"
"The College of William and Mary — Uganda Smartphone RCT","College of William and Mary","Global Health & Development","$100,000","May 2022"
"AI Impacts — General Support","AI Impacts","Potential Risks from Advanced AI","$364,893","June 2022"
"International Vaccine Institute — Hepatitis E Vaccine Trial","International Vaccine Institute","Human Health and Wellbeing","$4,000,000","January 2022"
"Oxfendazole Development Group — Oxfendazole Toxicity Tests","Oxfendazole Development Group","Human Health and Wellbeing","$1,600,000","June 2022"
"80,000 Hours — Marketing","80,000 Hours","Global Catastrophic Risks Capacity Building","$3,000,000","June 2022"
"80,000 Hours — General Support (2022)","80,000 Hours","Global Catastrophic Risks Capacity Building","$1,250,000","May 2022"
"UrbanEmissions — Pollution Modeling and Forecasting",UrbanEmissions,"South Asian Air Quality","$650,000","May 2022"
"Rose Hadshar — Individual longtermism projects",,"Global Catastrophic Risks","$163,830","May 2022"
"Michael Page — Career Transition Grant",,"Potential Risks from Advanced AI","$52,500","February 2022"
"Derek Foster — Research on Subjective Wellbeing",,"Global Health & Wellbeing","$49,045","May 2022"
"Eurogroup for Animals — Chicken Welfare Advocacy (2022)","Eurogroup for Animals","Broiler Chicken Welfare","$891,120","June 2022"
"Conservative Animal Welfare Foundation — Farm Animal Advocacy","Conservative Animal Welfare Foundation","Farm Animal Welfare","$1,245,067","May 2022"
"gui2de — Zusha! Road Safety Exit Grant","Georgetown University Initiative on Innovation, Development, and Evaluation","GiveWell-Recommended Charities","$100,000","October 2021"
"Evidence Action — Dispensers for Safe Water Exit Grant","Evidence Action","GiveWell-Recommended Charities","$100,000","October 2021"
"Precision Development — Exit Grant","Precision Development","GiveWell-Recommended Charities","$100,000","September 2021"
"One for the World — General Support (2021)","One for the World","Global Health & Development","$260,798","May 2021"
"Indian Institute of Technology Kanpur — Rural Air Quality Monitoring","Indian Institute of Technology Kanpur","South Asian Air Quality","$2,500,000","June 2022"
"Centre for Effective Altruism — Research Assistant for Jonas Sandbrink","Centre for Effective Altruism","Biosecurity & Pandemic Preparedness","$77,000","May 2022"
"Animal Nepal — Farm Animal Welfare","Animal Nepal","Farm Animal Welfare","$224,000","May 2022"
"Mission Realization — Support for Farm Animal Welfare Organizations","Mission Realization","Farm Animal Welfare","$992,000","July 2022"
"Compassion in World Farming (CIWF) USA — Broiler Chicken Welfare","Compassion in World Farming USA","Broiler Chicken Welfare","$550,000","May 2022"
